Student,ID,SIS User ID,SIS Login ID,Root Account,Section,Student's Request for Authorization of Absence - Webcourses Quiz for Step 1 (8140379),Attendance (8213842),Prerequisite / Financial Aid Quiz  (8140409),EC: W02-Video-Content-Quiz (8140423),EC: W04-Video-Content-Quiz (8140375),EC: W05-Video-Content-Quiz (8140430),EC: W06-Video-Content-Quiz (8140380),EC: W07-Video-Content-Quiz (8140387),EC Total to Ex1 (8140446),EC: W08-Video-Content-Quiz (8140412),EC: W10-Video-Content-Quiz (8140401),EC: W11-Video-Content-Quiz (8140420),EC: W13-Video-Content-Quiz (8140406),EC Total to Ex2 (8140447),EC: W10-Video-Content-Quiz(W10-not-used-in-Summer) (8140407),EC: W15-Video-Content-Quiz (8140390),EC: W09-Video-Content-Quiz (8140408),EC Total to Final (8140448),Quiz 3 Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (8140422),Final Exam-s Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (8140393),Attendance - Quiz 2 rebuttal (8225884),Midterm Exam 1 Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (8140418),Quiz 2 - Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (8180728),Midterm Exam 2-s Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (8140386),Attendance - Midterm 1 rebuttal (8140436),Attendance - Quiz 3 rebuttal (8140438),Attendance - Quiz 1 rebuttal  (8225802),Attendance - Midterm 2 Rebuttal (8140437),Midterm Exam 1 + EC (8140451),Midterm Exam 2 + EC (8140452),Final-s+15ptsCurve+EC (8140449),Quiz 1- Requires Respondus LockDown Browser (8140376),Quiz 2 + 1.2pts curve (8247171),Quiz 3 with +4 Curve (8140459),Project #1 Score (8140455),Collaborative Activity #1 Score (8140439),Project #2 Score (8140456),Collaborative Activity #2 Score (8140440),Project #3 Score (8140457),Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Assignment Reminders Current Score,Assignment Reminders Unposted Current Score,Assignment Reminders Final Score,Assignment Reminders Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Component Scores (instead weighted in corresponding category after EC added) Current Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Current Score,Component Scores (instead weighted in corresponding category after EC added) Final Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Final Score,(Midterm Exam 1)+EC Category Current Score,(Midterm Exam 1)+EC Category Unposted Current Score,(Midterm Exam 1)+EC Category Final Score,(Midterm Exam 1)+EC Category Unposted Final Score,(Midterm Exam 2)+EC Category Current Score,(Midterm Exam 2)+EC Category Unposted Current Score,(Midterm Exam 2)+EC Category Final Score,(Midterm Exam 2)+EC Category Unposted Final Score,(Final Exam)+EC Category Current Score,(Final Exam)+EC Category Unposted Current Score,(Final Exam)+EC Category Final Score,(Final Exam)+EC Category Unposted Final Score,Quiz1-Category Current Score,Quiz1-Category Unposted Current Score,Quiz1-Category Final Score,Quiz1-Category Unposted Final Score,Quiz2-Category Current Score,Quiz2-Category Unposted Current Score,Quiz2-Category Final Score,Quiz2-Category Unposted Final Score,Quiz3-Category Current Score,Quiz3-Category Unposted Current Score,Quiz3-Category Final Score,Quiz3-Category Unposted Final Score,Project 1 Materials Overall Category Current Score,Project 1 Materials Overall Category Unposted Current Score,Project 1 Materials Overall Category Final Score,Project 1 Materials Overall Category Unposted Final Score,Project 1 Collaborative Category Current Score,Project 1 Collaborative Category Unposted Current Score,Project 1 Collaborative Category Final Score,Project 1 Collaborative Category Unposted Final Score,Project 2 Materials Overall Category Current Score,Project 2 Materials Overall Category Unposted Current Score,Project 2 Materials Overall Category Final Score,Project 2 Materials Overall Category Unposted Final Score,Project 2 Collaborative Activity Category Current Score,Project 2 Collaborative Activity Category Unposted Current Score,Project 2 Collaborative Activity Category Final Score,Project 2 Collaborative Activity Category Unposted Final Score,Project 3 Materials Overall Category Current Score,Project 3 Materials Overall Category Unposted Current Score,Project 3 Materials Overall Category Final Score,Project 3 Materials Overall Category Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
,,,,,,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Points Possible,,,,,,0,100,7,1,1,1,1,1,6,1,2,1,1,3,1,1,2,2,25,100,100,100,25,100,100,100,100,100,100,100,100,25,25,25,100,100,100,100,100,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,40.77,0,56.33,9,58.67,0,0,0,100,63.33,68.67,55.77,16.17,10.2,8.67,0,150,12.18,150,19,0,0,0,0,,,,,33.33,33.33,33.33,33.33,20.19,20.19,20.19,20.19,35.84,35.84,35.84,35.84,63.33,63.33,63.33,63.33,68.67,68.67,68.67,68.67,55.77,55.77,55.77,55.77,64.67,64.67,64.67,64.67,40.8,40.8,40.8,40.8,34.68,34.68,34.68,34.68,0,0,0,0,150,150,150,150,12.18,12.18,12.18,12.18,150,150,150,150,19,19,19,19,52.74,52.74,52.74,52.74,F,F,F,F
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,100,5,0.5,1,0,0,1,2.5,0,1,1,0,4,0,1,2,1,13,16.5,66.67,60.33,19,49.33,66.67,100,28.57,100,69.83,63.33,32.5,5,20.2,17,79.83,100,82.49,100,81.33,100,100,100,100,,,,,59.52,59.52,59.52,59.52,42.74,42.74,42.74,42.74,67.82,67.82,67.82,67.82,69.83,69.83,69.83,69.83,63.33,63.33,63.33,63.33,32.5,32.5,32.5,32.5,20,20,20,20,80.8,80.8,80.8,80.8,68,68,68,68,79.83,79.83,79.83,79.83,100,100,100,100,82.49,82.49,82.49,82.49,100,100,100,100,81.33,81.33,81.33,81.33,62.63,62.63,62.63,62.63,D+,D+,D+,D+
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,100,5,1,0,0,0,1,2,0,1.8,1,1,4.8,1,1,2,2,21.4,62.17,83.33,68,15.5,59.9,66.67,100,42.85,100,77,74.7,85.17,22.67,16.7,25.4,74.38,150,86.3,150,87.5,100,100,100,100,,,,,70.48,70.48,70.48,70.48,74.18,74.18,74.18,74.18,72.47,72.47,72.47,72.47,77,77,77,77,74.7,74.7,74.7,74.7,85.17,85.17,85.17,85.17,90.67,90.67,90.67,90.67,66.8,66.8,66.8,66.8,101.6,101.6,101.6,101.6,74.38,74.38,74.38,74.38,150,150,150,150,86.3,86.3,86.3,86.3,150,150,150,150,87.5,87.5,87.5,87.5,83.7,83.7,83.7,83.7,A-,A-,A-,A-
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,100,6,0.5,0,0,0,0,0.5,0,1,1,0,2,0,0,0,0,16.6,44.67,100,93,20,78.13,100,100,71.43,100,100.5,90.13,59.67,18.33,21.2,20.6,94.67,200,84.14,125,82.67,100,100,100,100,,,,,40.48,40.48,40.48,40.48,71.67,71.67,71.67,71.67,90.01,90.01,90.01,90.01,100.5,100.5,100.5,100.5,90.13,90.13,90.13,90.13,59.67,59.67,59.67,59.67,73.32,73.32,73.32,73.32,84.8,84.8,84.8,84.8,82.4,82.4,82.4,82.4,94.67,94.67,94.67,94.67,200,200,200,200,84.14,84.14,84.14,84.14,125,125,125,125,82.67,82.67,82.67,82.67,86.89,86.89,86.89,86.89,A,A,A,A
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,50,7,0,1,0,0,0,2,1,1.75,0,0,1.75,1,0,0,0,19,0,100,76,25,79.67,33.33,100,28.57,100,85,91.42,0,8.83,26.2,23,82.93,100,81.16,100,76.42,50,50,50,50,,,,,55.95,55.95,55.95,55.95,52.89,52.89,52.89,52.89,70.81,70.81,70.81,70.81,85,85,85,85,91.42,91.42,91.42,91.42,0,0,0,0,35.33,35.33,35.33,35.33,104.8,104.8,104.8,104.8,92,92,92,92,82.93,82.93,82.93,82.93,100,100,100,100,81.16,81.16,81.16,81.16,100,100,100,100,76.42,76.42,76.42,76.42,67.73,67.73,67.73,67.73,C,C,C,C
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,100,5,0.5,1,0,0,1,3.5,1,0.6,0,0,2.6,1,0,2,0,20,40.83,100,67.83,19,47.53,100,100,100,50,78.33,60.13,55.83,11.33,20.2,24,86.82,100,83.12,150,88.17,100,100,100,100,,,,,57.62,57.62,57.62,57.62,71.48,71.48,71.48,71.48,77.5,77.5,77.5,77.5,78.33,78.33,78.33,78.33,60.13,60.13,60.13,60.13,55.83,55.83,55.83,55.83,45.33,45.33,45.33,45.33,80.8,80.8,80.8,80.8,96,96,96,96,86.82,86.82,86.82,86.82,100,100,100,100,83.12,83.12,83.12,83.12,150,150,150,150,88.17,88.17,88.17,88.17,73.03,73.03,73.03,73.03,B-,B-,B-,B-
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,0,50,0,0,0,1,0,1,2,0,1,1,1,3,1,1,1,2,15.4,36.53,100,70.33,17,49.73,100,100,42.85,100,79.33,62.73,53.53,17.5,18.2,19.4,88.67,150,63.58,125,66.67,50,50,50,50,,,,,38.1,38.1,38.1,38.1,67.53,67.53,67.53,67.53,76.79,76.79,76.79,76.79,79.33,79.33,79.33,79.33,62.73,62.73,62.73,62.73,53.53,53.53,53.53,53.53,70,70,70,70,72.8,72.8,72.8,72.8,77.6,77.6,77.6,77.6,88.67,88.67,88.67,88.67,150,150,150,150,63.58,63.58,63.58,63.58,125,125,125,125,66.67,66.67,66.67,66.67,70.96,70.96,70.96,70.96,C+,C+,C+,C+
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,100,5,0,1.5,1,0.5,0,3,0,0,0,0,2,1,1,2,1,21,74.5,83.33,82.83,24,76.47,66.67,100,100,100,92.83,88.47,90.5,24.5,25.2,25,88,150,82.43,125,91,100,100,100,100,,,,,57.14,57.14,57.14,57.14,79.48,79.48,79.48,79.48,88,88,88,88,92.83,92.83,92.83,92.83,88.47,88.47,88.47,88.47,90.5,90.5,90.5,90.5,98,98,98,98,100.8,100.8,100.8,100.8,100,100,100,100,88,88,88,88,150,150,150,150,82.43,82.43,82.43,82.43,125,125,125,125,91,91,91,91,93.1,93.1,93.1,93.1,A,A,A,A
