Student,ID,SIS User ID,SIS Login ID,Root Account,Section,Midterm Exam 1 - Requires Respondus LockDown Browser (7456074),Midterm Exam 2-s - Requires Respondus LockDown Browser (7456044),Final Exam-s - Requires Respondus LockDown Browser (7456055),Quiz 1- Requires Respondus LockDown Browser (7456070),Quiz 2 - Requires Respondus LockDown Browser (7456075),Quiz 3 - Requires Respondus LockDown Browser (7456042),Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Assignment Reminders Current Score,Assignment Reminders Unposted Current Score,Assignment Reminders Final Score,Assignment Reminders Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Component Scores (instead weighted in corresponding category after EC added) Current Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Current Score,Component Scores (instead weighted in corresponding category after EC added) Final Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Final Score,(Midterm Exam 1)+EC+Curve Category Current Score,(Midterm Exam 1)+EC+Curve Category Unposted Current Score,(Midterm Exam 1)+EC+Curve Category Final Score,(Midterm Exam 1)+EC+Curve Category Unposted Final Score,(Midterm Exam 2)+EC+Curve Category Current Score,(Midterm Exam 2)+EC+Curve Category Unposted Current Score,(Midterm Exam 2)+EC+Curve Category Final Score,(Midterm Exam 2)+EC+Curve Category Unposted Final Score,(Final Exam)+EC+Curve Category Current Score,(Final Exam)+EC+Curve Category Unposted Current Score,(Final Exam)+EC+Curve Category Final Score,(Final Exam)+EC+Curve Category Unposted Final Score,Quiz1-Category Current Score,Quiz1-Category Unposted Current Score,Quiz1-Category Final Score,Quiz1-Category Unposted Final Score,Quiz2-Category Current Score,Quiz2-Category Unposted Current Score,Quiz2-Category Final Score,Quiz2-Category Unposted Final Score,Quiz3-Category Current Score,Quiz3-Category Unposted Current Score,Quiz3-Category Final Score,Quiz3-Category Unposted Final Score,Project 1 Materials Overall Category Current Score,Project 1 Materials Overall Category Unposted Current Score,Project 1 Materials Overall Category Final Score,Project 1 Materials Overall Category Unposted Final Score,Project 1 Collaborative Category Current Score,Project 1 Collaborative Category Unposted Current Score,Project 1 Collaborative Category Final Score,Project 1 Collaborative Category Unposted Final Score,Project 2 Materials Overall Category Current Score,Project 2 Materials Overall Category Unposted Current Score,Project 2 Materials Overall Category Final Score,Project 2 Materials Overall Category Unposted Final Score,Project 2 Collaborative Activity Category Current Score,Project 2 Collaborative Activity Category Unposted Current Score,Project 2 Collaborative Activity Category Final Score,Project 2 Collaborative Activity Category Unposted Final Score,Migrated Quizzes Current Score,Migrated Quizzes Unposted Current Score,Migrated Quizzes Final Score,Migrated Quizzes Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
,,,,,,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Points Possible,,,,,,100,100,100,25,25,25,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
1,,,,webcourses.ucf.edu,EEL3801C-22Spring 0M02,76.33,69.83,41.53,17.67,20,18.17,,,,,,,,,65,65,30.95,30.95,,,,,62.57,62.57,62.57,62.57,82.83,82.83,82.83,82.83,78.83,78.83,78.83,78.83,62.03,62.03,62.03,62.03,70.67,70.67,70.67,70.67,80,80,80,80,72.67,72.67,72.67,72.67,88.28,88.28,88.28,88.28,83.5,83.5,83.5,83.5,93.18,93.18,93.18,93.18,200,200,200,200,,,,,78.17,78.17,78.17,78.17,B-,B-,B-,B-
2,,,,webcourses.ucf.edu,EEL3801C-22Spring 0M02,74.5,62.33,53.1,19.33,16.5,14,,,,,,,,,66.67,66.67,25.4,25.4,,,,,63.31,63.31,63.31,63.31,79.5,79.5,79.5,79.5,71.33,71.33,71.33,71.33,73.1,73.1,73.1,73.1,77.33,77.33,77.33,77.33,66,66,66,66,56,56,56,56,77.18,77.18,77.18,77.18,150,150,150,150,69.25,69.25,69.25,69.25,156.5,156.5,156.5,156.5,,,,,74.65,74.65,74.65,74.65,C,C,C,C
3,,,,webcourses.ucf.edu,EEL3801C-22Spring 0M02,93,73.27,74.13,25,25,18.5,,,,,,,,,57.89,57.89,52.38,52.38,,,,,80.13,80.13,80.13,80.13,100.5,100.5,100.5,100.5,85.77,85.77,85.77,85.77,95.13,95.13,95.13,95.13,100,100,100,100,100,100,100,100,74,74,74,74,86.83,86.83,86.83,86.83,100,100,100,100,88.06,88.06,88.06,88.06,200,200,200,200,,,,,93.48,93.48,93.48,93.48,A,A,A,A
4,,,,webcourses.ucf.edu,EEL3801C-22Spring 0M02,85.07,84.6,66.63,21.67,25,25,,,,,,,,,55.09,55.09,47.22,47.22,,,,,78.77,78.77,78.77,78.77,93.07,93.07,93.07,93.07,96.52,96.52,96.52,96.52,86.63,86.63,86.63,86.63,86.67,86.67,86.67,86.67,100,100,100,100,100,100,100,100,89.45,89.45,89.45,89.45,150,150,150,150,92.88,92.88,92.88,92.88,250,250,250,250,,,,,94.32,94.32,94.32,94.32,A,A,A,A
5,,,,webcourses.ucf.edu,EEL3801C-22Spring 0M02,88,84.5,82.57,22.17,21.5,25,,,,,,,,,62.75,62.75,50.79,50.79,,,,,85.02,85.02,85.02,85.02,96,96,96,96,96.5,96.5,96.5,96.5,103.57,103.57,103.57,103.57,88.67,88.67,88.67,88.67,86,86,86,86,100,100,100,100,90.75,90.75,90.75,90.75,150,150,150,150,90.63,90.63,90.63,90.63,200,200,200,200,,,,,97.95,97.95,97.95,97.95,A,A,A,A
6,,,,webcourses.ucf.edu,EEL3801C-22Spring 0M02,70.5,58.57,39.07,18,16,19.17,,,,,,,,,71.43,71.43,23.81,23.81,,,,,56.04,56.04,56.04,56.04,75.5,75.5,75.5,75.5,67.57,67.57,67.57,67.57,59.07,59.07,59.07,59.07,72,72,72,72,64,64,64,64,76.67,76.67,76.67,76.67,75.2,75.2,75.2,75.2,100,100,100,100,78.56,78.56,78.56,78.56,200,200,200,200,,,,,70.85,70.85,70.85,70.85,C,C,C,C
7,,,,webcourses.ucf.edu,EEL3801C-22Spring 0M02,70.17,71.47,60.77,13.17,23.5,19.5,,,,,,,,,70.83,70.83,40.48,40.48,,,,,67.47,67.47,67.47,67.47,77.67,77.67,77.67,77.67,80.47,80.47,80.47,80.47,81.27,81.27,81.27,81.27,52.67,52.67,52.67,52.67,94,94,94,94,78,78,78,78,86.55,86.55,86.55,86.55,100,100,100,100,89.57,89.57,89.57,89.57,200,200,200,200,,,,,82.03,82.03,82.03,82.03,B+,B+,B+,B+
8,,,,webcourses.ucf.edu,EEL3801C-22Spring 0M02,65,59.27,35.97,11.67,22,16.5,,,,,,,,,61.54,61.54,38.1,38.1,,,,,53.41,53.41,53.41,53.41,71,71,71,71,69.27,69.27,69.27,69.27,55.97,55.97,55.97,55.97,46.67,46.67,46.67,46.67,88,88,88,88,66,66,66,66,67.47,67.47,67.47,67.47,100,100,100,100,80.1,80.1,80.1,80.1,225,225,225,225,,,,,68.61,68.61,68.61,68.61,C,C,C,C
9,,,,webcourses.ucf.edu,EEL3801C-22Spring 0M02,55.06,68.63,56.96,15.83,21.5,12.67,,,,,,,,,70,70,66.67,66.67,,,,,60.22,60.22,60.22,60.22,62.07,62.07,62.07,62.07,81.63,81.63,81.63,81.63,77.97,77.97,77.97,77.97,63.33,63.33,63.33,63.33,86,86,86,86,50.67,50.67,50.67,50.67,88.38,88.38,88.38,88.38,150,150,150,150,95.89,95.89,95.89,95.89,300,300,300,300,,,,,79.32,79.32,79.32,79.32,B,B,B,B
10,,,,webcourses.ucf.edu,EEL3801C-22Spring 0M02,41.83,76.14,56.46,21,22,20.75,,,,,,,,,52.5,52.5,50,50,,,,,58.14,58.14,58.14,58.14,47.83,47.83,47.83,47.83,88.13,88.13,88.13,88.13,77.97,77.97,77.97,77.97,84,84,84,84,88,88,88,88,83,83,83,83,86.35,86.35,86.35,86.35,150,150,150,150,86.23,86.23,86.23,86.23,275,275,275,275,,,,,79.22,79.22,79.22,79.22,B,B,B,B
