Student,ID,SIS User ID,SIS Login ID,Root Account,Section,Quiz 3 - Requires Respondus LockDown Browser (7559285),Midterm Exam 1 - Requires Respondus LockDown Browser (7559300),Midterm Exam 2-s - Requires Respondus LockDown Browser (7559288),Final Exam-s - Requires Respondus LockDown Browser (7559313),Quiz 1- Requires Respondus LockDown Browser (7559287),Quiz 2 - Requires Respondus LockDown Browser (7559304),Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Assignment Reminders Current Score,Assignment Reminders Unposted Current Score,Assignment Reminders Final Score,Assignment Reminders Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Component Scores (instead weighted in corresponding category after EC added) Current Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Current Score,Component Scores (instead weighted in corresponding category after EC added) Final Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Final Score,(Midterm Exam 1)+EC Category Current Score,(Midterm Exam 1)+EC Category Unposted Current Score,(Midterm Exam 1)+EC Category Final Score,(Midterm Exam 1)+EC Category Unposted Final Score,(Midterm Exam 2)+EC Category Current Score,(Midterm Exam 2)+EC Category Unposted Current Score,(Midterm Exam 2)+EC Category Final Score,(Midterm Exam 2)+EC Category Unposted Final Score,(Final Exam)+EC Category Current Score,(Final Exam)+EC Category Unposted Current Score,(Final Exam)+EC Category Final Score,(Final Exam)+EC Category Unposted Final Score,Quiz1-Category Current Score,Quiz1-Category Unposted Current Score,Quiz1-Category Final Score,Quiz1-Category Unposted Final Score,Quiz2-Category Current Score,Quiz2-Category Unposted Current Score,Quiz2-Category Final Score,Quiz2-Category Unposted Final Score,Quiz3-Category Current Score,Quiz3-Category Unposted Current Score,Quiz3-Category Final Score,Quiz3-Category Unposted Final Score,Project 1 Materials Overall Category Current Score,Project 1 Materials Overall Category Unposted Current Score,Project 1 Materials Overall Category Final Score,Project 1 Materials Overall Category Unposted Final Score,Project 1 Collaborative Category Current Score,Project 1 Collaborative Category Unposted Current Score,Project 1 Collaborative Category Final Score,Project 1 Collaborative Category Unposted Final Score,Project 2 Materials Overall Category Current Score,Project 2 Materials Overall Category Unposted Current Score,Project 2 Materials Overall Category Final Score,Project 2 Materials Overall Category Unposted Final Score,Project 2 Collaborative Activity Category Current Score,Project 2 Collaborative Activity Category Unposted Current Score,Project 2 Collaborative Activity Category Final Score,Project 2 Collaborative Activity Category Unposted Final Score,Migrated Quizzes Current Score,Migrated Quizzes Unposted Current Score,Migrated Quizzes Final Score,Migrated Quizzes Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
,,,,,,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Points Possible,,,,,,25,100,100,100,25,25,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
1,,,,webcourses.ucf.edu,EEL3801C-22Summer CM01,18,74.6,67.8,52.68,11.83,20.5,,,,,,,,,57.89,57.89,57.89,57.89,,,0,0,65.56,65.56,63.61,63.61,85.6,85.6,85.6,85.6,80.8,80.8,80.8,80.8,68.68,68.68,68.68,68.68,47.32,47.32,47.32,47.32,82,82,82,82,88,88,88,88,92.1,92.1,92.1,92.1,100,100,100,100,96.5,96.5,96.5,96.5,75,75,75,75,,,,,80.04,80.04,80.04,80.04,B+,B+,B+,B+
2,,,,webcourses.ucf.edu,EEL3801C-22Summer CM01,21,81.5,65.33,79.78,15.67,22,,,,,,,,,36.84,36.84,36.84,36.84,,,0,0,76.19,76.19,73.91,73.91,92.5,92.5,92.5,92.5,75.33,75.33,75.33,75.33,95.77,95.77,95.77,95.77,62.68,62.68,62.68,62.68,88,88,88,88,100,100,100,100,91.4,91.4,91.4,91.4,100,100,100,100,73.85,73.85,73.85,73.85,150,150,150,150,,,,,87.42,87.42,87.42,87.42,A,A,A,A
3,,,,webcourses.ucf.edu,EEL3801C-22Summer CM01,10.33,62.66,80,57.18,18.67,19.5,,,,,,,,,67.37,67.37,67.37,67.37,0,0,0,0,64.67,64.67,62.74,62.74,75.67,75.67,75.67,75.67,93.8,93.8,93.8,93.8,84.18,84.18,84.18,84.18,74.67,74.67,74.67,74.67,78,78,78,78,57.32,57.32,57.32,57.32,88.95,88.95,88.95,88.95,150,150,150,150,94.6,94.6,94.6,94.6,200,200,200,200,,,,,85.46,85.46,85.46,85.46,A,A,A,A
4,,,,webcourses.ucf.edu,EEL3801C-22Summer CM01,11.17,74.17,64.93,53.2,19.5,19,,,,,,,,,47.37,47.37,47.37,47.37,,,0,0,62.6,62.6,60.74,60.74,87.17,87.17,87.17,87.17,74.93,74.93,74.93,74.93,77.7,77.7,77.7,77.7,78,78,78,78,76,76,76,76,60.68,60.68,60.68,60.68,95.2,95.2,95.2,95.2,133.5,133.5,133.5,133.5,84.2,84.2,84.2,84.2,125,125,125,125,,,,,81.31,81.31,81.31,81.31,B+,B+,B+,B+
5,,,,webcourses.ucf.edu,EEL3801C-22Summer CM01,13.5,48,65.93,51.2,12.5,14.5,,,,,,,,,31.58,31.58,31.58,31.58,,,0,0,54.96,54.96,53.32,53.32,58,58,58,58,75.93,75.93,75.93,75.93,67.2,67.2,67.2,67.2,50,50,50,50,58,58,58,58,70,70,70,70,85,85,85,85,100,100,100,100,81.98,81.98,81.98,81.98,100,100,100,100,,,,,69.51,69.51,69.51,69.51,C,C,C,C
6,,,,webcourses.ucf.edu,EEL3801C-22Summer CM01,20,76.17,55.73,57.93,21.67,17.5,,,,,,,,,31.58,31.58,31.58,31.58,,,0,0,64.56,64.56,62.64,62.64,86.17,86.17,86.17,86.17,65.74,65.74,65.74,65.74,82.93,82.93,82.93,82.93,86.68,86.68,86.68,86.68,70,70,70,70,96,96,96,96,96.08,96.08,96.08,96.08,150,150,150,150,87.4,87.4,87.4,87.4,150,150,150,150,,,,,83.26,83.26,83.26,83.26,A-,A-,A-,A-
7,,,,webcourses.ucf.edu,EEL3801C-22Summer CM01,18,68,60.27,37.6,9,12.5,,,,,,,,,47.37,47.37,47.37,47.37,,,0,0,56.57,56.57,54.89,54.89,79,79,79,79,72.27,72.27,72.27,72.27,53.6,53.6,53.6,53.6,36,36,36,36,50,50,50,50,88,88,88,88,90.2,90.2,90.2,90.2,100,100,100,100,84.32,84.32,84.32,84.32,100,100,100,100,,,,,70.06,70.06,70.06,70.06,C,C,C,C
8,,,,webcourses.ucf.edu,EEL3801C-22Summer CM01,5.33,33.33,36.13,26.67,8,10.5,,,,,,,,,47.37,47.37,47.37,47.37,,,0,0,31.22,31.22,30.29,30.29,46.33,46.33,46.33,46.33,46.13,46.13,46.13,46.13,43.67,43.67,43.67,43.67,32,32,32,32,42,42,42,42,37.32,37.32,37.32,37.32,82.85,82.85,82.85,82.85,150,150,150,150,60.23,60.23,60.23,60.23,125,125,125,125,,,,,50.6,50.6,50.6,50.6,F,F,F,F
